,Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%
3056,Kamar Aiken,2012,WR,NE,"$465,000",$0,"$465,000",0.004
3057,Andrew Hawkins,2012,WR,CIN,"$465,000",$0,"$465,000",0.004
3058,Perrish Cox,2012,CB,SF,"$465,000",$0,"$465,000",0.004
3059,Alfonso Smith,2012,RB,ARI,"$465,000",$0,"$465,000",0.004
3060,Scott Tolzien,2012,QB,SF,"$465,000",$0,"$465,000",0.004
3061,Will Tukuafu,2012,FB,SF,"$465,000",$0,"$465,000",0.004
3062,Dedrick Epps,2012,TE,NYJ,"$465,000",$0,"$465,000",0.004
3063,Ian Williams,2012,DT,SF,"$465,000",$0,"$465,000",0.004
3064,Clyde Gates,2012,WR,NYJ,"$465,000",$0,"$465,000",0.004
3065,Mardy Gilyard,2012,WR,NYJ,"$465,000",$0,"$465,000",0.004
3066,Robert Malone,2012,P,NYJ,"$465,000",$0,"$465,000",0.004
3067,Caleb Schlauderaff,2012,C,NYJ,"$465,000",$0,"$465,000",0.004
3068,Ahmad Black,2012,S,TB,"$465,000",$0,"$465,000",0.004
3069,Nate Byham,2012,TE,TB,"$465,000",$0,"$465,000",0.004
3070,Lazarius Levingston,2012,DT,TB,"$465,000",$0,"$465,000",0.004
3071,Julian Vandervelde,2012,C,TB,"$465,000",$0,"$465,000",0.004
3072,Markus White,2012,DE,TB,"$465,000",$0,"$465,000",0.004
3073,Quinten Lawrence,2012,WR,MIA,"$465,000",$0,"$465,000",0.004
3074,Will Yeatman,2012,LT,MIA,"$465,000",$0,"$465,000",0.004
3075,Chris Jones,2012,P,DAL,"$465,000",$0,"$465,000",0.004
3076,Baron Batch,2012,RB,PIT,"$465,000",$0,"$465,000",0.004
3077,DeMarcus Van Dyke,2012,CB,PIT,"$465,000",$0,"$465,000",0.004
3078,Jeremy Ware,2012,CB,CHI,"$465,000",$0,"$465,000",0.004
3079,DuJuan Harris,2012,RB,GB,"$465,000",$0,"$465,000",0.004
3080,Rafael Bush,2012,FS,NO,"$465,000",$0,"$465,000",0.004
3081,Eric Olsen,2012,C,NO,"$465,000",$0,"$465,000",0.004
3082,Jeff Byers,2012,C,CAR,"$465,000",$0,"$465,000",0.004
3083,Allen Bradford,2012,ILB,SEA,"$465,000",$0,"$465,000",0.004
3084,James Dockery,2012,CB,CAR,"$465,000",$0,"$465,000",0.004
3085,Brandon Browner,2012,CB,SEA,"$465,000",$0,"$465,000",0.004
3086,Lemuel Jeanpierre,2012,C,SEA,"$465,000",$0,"$465,000",0.004
3087,Douglas Hogue,2012,OLB,CAR,"$465,000",$0,"$465,000",0.004
3088,Michael Morgan,2012,OLB,SEA,"$465,000",$0,"$465,000",0.004
3089,Colin Jones,2012,FS,CAR,"$465,000",$0,"$465,000",0.004
3090,Frank Kearse,2012,DE,CAR,"$465,000",$0,"$465,000",0.004
3091,Crezdon Butler,2012,CB,BUF,"$465,000",$0,"$465,000",0.004
3092,Dorin Dickerson,2012,TE,BUF,"$465,000",$0,"$465,000",0.004
3093,Brandon Bair,2012,DE,LV/OAK,"$465,000",$0,"$465,000",0.004
3094,Anthony Allen,2012,RB,BAL,"$465,000",$0,"$465,000",0.004
3095,Larry Dean,2012,OLB,MIN,"$465,000",$0,"$465,000",0.004
3096,Tyrone McKenzie,2012,OLB,MIN,"$465,000",$0,"$465,000",0.004
3097,Marcus Sherels,2012,CB,MIN,"$465,000",$0,"$465,000",0.004
3098,Albert McClellan,2012,OLB,BAL,"$465,000",$0,"$465,000",0.004
3099,Mister Alexander,2012,LB,HOU,"$465,000",$0,"$465,000",0.004
3100,Tyler Clutts,2012,FB,HOU,"$465,000",$0,"$465,000",0.004
3101,Hall Davis,2012,DE,CLE,"$465,000",$0,"$465,000",0.004
3102,Shiloh Keo,2012,SS,HOU,"$465,000",$0,"$465,000",0.004
3103,Thaddeus Lewis,2012,QB,CLE,"$465,000",$0,"$465,000",0.004
3104,Joe Barksdale,2012,RT,LAR/STL,"$465,000",$0,"$465,000",0.004
3105,Jermelle Cudjo,2012,DT,LAR/STL,"$465,000",$0,"$465,000",0.004
3106,Jordan Norwood,2012,WR,CLE,"$465,000",$0,"$465,000",0.004
3107,Robert McClain,2012,CB,ATL,"$465,000",$0,"$465,000",0.004
3108,Justin Trattou,2012,DE,NYG,"$465,000",$0,"$465,000",0.004
3109,Maurice Hurt,2012,G,WAS,"$465,000",$0,"$465,000",0.004
3110,Jerome Murphy,2012,CB,WAS,"$465,000",$0,"$465,000",0.004
3111,Evan Royster,2012,RB,WAS,"$465,000",$0,"$465,000",0.004
3112,Greg Salas,2012,WR,PHI,"$465,000",$0,"$465,000",0.004
3113,Cedric Thornton,2012,DT,PHI,"$465,000",$0,"$465,000",0.004
3114,Kris Durham,2012,WR,DET,"$465,000",$0,"$465,000",0.004
3115,Johnny White,2012,RB,GB,"$456,281",$0,"$456,281",0.004
3116,Alameda Ta'amu,2012,DT,PIT,"$344,188","$108,328","$452,516",0.004
3117,Bryan Thomas,2012,LB,NYJ,"$925,000",$0,"$444,706",0.004
3118,Andre Carter,2012,DE,LV/OAK,"$925,000",$0,"$444,706",0.004
3119,Josh Chapman,2012,DT,IND,"$390,000","$53,878","$443,878",0.004
3120,Malik Jackson,2012,DT,DEN,"$390,000","$53,403","$443,403",0.004
3121,Tahir Whitehead,2012,OLB,DET,"$390,000","$53,000","$443,000",0.004
3122,Robert Blanton,2012,SS,MIN,"$390,000","$52,763","$442,763",0.004
3123,Najee Goode,2012,OLB,TB,"$390,000","$51,725","$441,725",0.004
3124,Adam Gettis,2012,G,WAS,"$390,000","$50,493","$440,493",0.004
3125,Josh Norman,2012,CB,CAR,"$390,000","$49,750","$439,750",0.004
3126,Taylor Thompson,2012,TE,TEN,"$390,000","$49,500","$439,500",0.004
3127,De'Quan Menzie,2012,CB,KC,"$390,000","$48,613","$438,613",0.004
3128,Chris Greenwood,2012,CB,DET,"$390,000","$48,000","$438,000",0.004
3129,Johnnie Troutman,2012,G,LAC/SD,"$390,000","$47,938","$437,938",0.004
3130,Senio Kelemete,2012,G,ARI,"$390,000","$47,900","$437,900",0.004
3131,Rokevious Watkins,2012,G,LAR/STL,"$390,000","$47,825","$437,825",0.004
3132,Pat McQuistan,2012,RT,ARI,"$700,000",$0,"$437,500",0.004
3133,Dennis Kelly,2012,RT,PHI,"$390,000","$47,200","$437,200",0.004
3134,Jack Crawford,2012,DE,LV/OAK,"$390,000","$45,606","$435,606",0.004
3135,Chris Rainey,2012,RB,PIT,"$390,000","$45,413","$435,413",0.004
3136,Ryan Miller,2012,RT,CLE,"$390,000","$44,633","$434,633",0.004
3137,Randy Bullock,2012,K,HOU,"$390,000","$44,527","$434,527",0.004
3138,Corey White,2012,CB,NO,"$390,000","$44,125","$434,125",0.004
3139,Terrell Manning,2012,ILB,GB,"$390,000","$42,870","$432,870",0.004
3140,Jonathan Massaquoi,2012,DE,ATL,"$390,000","$42,215","$432,215",0.004
3141,Darius Fleming,2012,OLB,SF,"$390,000","$41,200","$431,200",0.004
3142,Marvin Jones,2012,WR,CIN,"$390,000","$40,700","$430,700",0.004
3143,George Iloka,2012,FS,CIN,"$390,000","$40,075","$430,075",0.004
3144,Vick Ballard,2012,RB,IND,"$390,000","$36,140","$426,140",0.004
3145,Juron Criner,2012,WR,LV/OAK,"$390,000","$36,140","$426,140",0.004
3146,Asa Jackson,2012,CB,BAL,"$390,000","$36,140","$426,140",0.004
3147,Cyrus Gray,2012,RB,KC,"$390,000","$26,918","$424,918",0.004
3148,Greg Zuerlein,2012,K,LAR/STL,"$390,000","$32,205","$422,205",0.004
3149,Jeremy Lane,2012,CB,SEA,"$390,000","$31,279","$421,279",0.004
3150,Alfred Morris,2012,RB,WAS,"$390,000","$30,775","$420,775",0.004
3151,Keith Tandy,2012,FS,TB,"$390,000","$30,150","$420,150",0.004
3152,Blair Walsh,2012,K,MIN,"$390,000","$29,483","$419,483",0.004
3153,Mike Harris,2012,CB,JAX,"$390,000","$28,947","$418,947",0.004
3154,Justin Bethel,2012,CB,ARI,"$390,000","$28,556","$418,556",0.004
3155,Andrew Tiller,2012,G,NO,"$390,000","$28,000","$418,000",0.004
3156,Trenton Robinson,2012,FS,SF,"$390,000","$27,625","$417,625",0.004
3157,Winston Guy,2012,FS,SEA,"$390,000","$27,515","$417,515",0.004
3158,Ryan Lindley,2012,QB,ARI,"$390,000","$26,327","$416,327",0.004
3159,James Hanna,2012,TE,DAL,"$390,000","$26,213","$416,213",0.004
3160,Josh Bush,2012,SS,NYJ,"$390,000","$26,055","$416,055",0.003
3161,Danny Trevathan,2012,ILB,DEN,"$390,000","$26,018","$416,018",0.003
3162,Christo Bilukidi,2012,DT,LV/OAK,"$390,000","$25,966","$415,966",0.003
3163,Markelle Martin,2012,S,TEN,"$390,000","$25,947","$415,947",0.003
3164,Charles Mitchell,2012,S,ATL,"$390,000","$25,418","$415,418",0.003
3165,Daniel Te'o-Nesheim,2012,DE,TB,"$415,000",$0,"$415,000",0.003
3166,Mitch Unrein,2012,DE,DEN,"$415,000",$0,"$415,000",0.003
3167,Jonte Green,2012,CB,DET,"$390,000","$24,250","$414,250",0.003
3168,Nate Ebner,2012,FS,NE,"$390,000","$24,150","$414,150",0.003
3169,Tommy Streeter,2012,WR,BAL,"$390,000","$23,513","$413,513",0.003
3170,J.T. Thomas,2012,OLB,CHI,"$390,000","$23,129","$413,129",0.003
3171,Lex Hilliard,2012,RB,NYJ,"$615,000",$0,"$412,941",0.003
3172,Pat Lee,2012,CB,LV/OAK,"$615,000","$65,000","$410,938",0.003
3173,Brad Nortman,2012,P,CAR,"$390,000","$19,670","$409,670",0.003
3174,Emmanuel Acho,2012,ILB,CLE,"$390,000","$19,670","$409,670",0.003
3175,Billy Winn,2012,DE,CLE,"$390,000","$19,670","$409,670",0.003
3176,LaVon Brazill,2012,WR,IND,"$390,000","$18,513","$408,513",0.003
3177,Audie Cole,2012,ILB,MIN,"$390,000","$16,875","$406,875",0.003
3178,Scott Solomon,2012,OLB,TEN,"$390,000","$16,741","$406,741",0.003
3179,Justin Medlock,2012,K,CAR,"$390,000","$16,666","$406,666",0.003
3180,Greg McElroy,2012,QB,NYJ,"$390,000","$16,288","$406,288",0.003
3181,Michael Smith,2012,RB,TB,"$390,000","$16,287","$406,287",0.003
3182,Richard Crawford,2012,CB,WAS,"$390,000","$15,933","$405,933",0.003
3183,Kheeston Randall,2012,DT,MIA,"$390,000","$15,612","$405,612",0.003
3184,D.J. Campbell,2012,S,CAR,"$390,000","$15,562","$405,562",0.003
3185,Jordan Bernstine,2012,S,WAS,"$390,000","$15,455","$405,455",0.003
3186,Nate Potter,2012,LT,ARI,"$390,000","$14,856","$404,856",0.003
3187,Caleb McSurdy,2012,ILB,DAL,"$390,000","$14,850","$404,850",0.003
3188,Travis Lewis,2012,ILB,DET,"$390,000","$14,793","$404,793",0.003
3189,Alfonzo Dennard,2012,CB,NE,"$390,000","$14,462","$404,462",0.003
3190,J.R. Sweezy,2012,G,SEA,"$390,000","$14,212","$404,212",0.003
3191,David Molk,2012,C,LAC/SD,"$390,000","$13,988","$403,988",0.003
3192,Rishard Matthews,2012,WR,MIA,"$390,000","$13,403","$403,403",0.003
3193,Jeris Pendleton,2012,DT,JAX,"$390,000","$12,721","$402,721",0.003
3194,Bryce Brown,2012,RB,PHI,"$390,000","$12,720","$402,720",0.003
3195,Greg Scruggs,2012,DE,SEA,"$390,000","$12,358","$402,358",0.003
3196,Marcel Jones,2012,RT,NO,"$390,000","$12,150","$402,150",0.003
3197,Deangelo Tyson,2012,DE,BAL,"$390,000","$11,898","$401,898",0.003
3198,Kelvin Beachum,2012,LT,PIT,"$390,000","$11,474","$401,474",0.003
3199,David Paulson,2012,TE,PIT,"$390,000","$11,474","$401,474",0.003
3200,John Potter,2012,K,BUF,"$390,000","$11,474","$401,474",0.003
3201,Daryl Richardson,2012,RB,LAR/STL,"$390,000","$11,474","$401,474",0.003
3202,Markus Kuhn,2012,DT,NYG,"$390,000","$11,474","$401,474",0.003
3203,Travian Robertson,2012,DT,ATL,"$390,000","$11,474","$401,474",0.003
3204,Trevin Wade,2012,CB,CLE,"$390,000","$11,472","$401,472",0.003
3205,Beau Brinkley,2012,LS,TEN,"$390,000","$6,666","$396,666",0.003
3206,Kellen Moore,2012,QB,DET,"$390,000","$6,666","$396,666",0.003
3207,Damaris Johnson,2012,WR,PHI,"$390,000","$5,000","$395,000",0.003
3208,Brandon Bolden,2012,RB,NE,"$390,000","$4,584","$394,584",0.003
3209,Lucas Nix,2012,G,LV/OAK,"$390,000","$4,166","$394,166",0.003
3210,Steven Johnson,2012,ILB,DEN,"$390,000","$4,000","$394,000",0.003
3211,Ernie Sims,2012,OLB,DAL,"$700,000",$0,"$393,750",0.003
3212,Zac Diles,2012,ILB,TEN,"$700,000","$-306,250","$393,750",0.003
3213,Justin Miller,2012,CB,DET,"$700,000",$0,"$393,750",0.003
3214,Kelcie McCray,2012,SS,MIA,"$390,000","$3,333","$393,333",0.003
3215,Derrick Shelby,2012,DT,MIA,"$390,000","$3,333","$393,333",0.003
3216,Mike Brewster,2012,C,JAX,"$390,000","$3,333","$393,333",0.003
3217,Rod Streater,2012,WR,LV/OAK,"$390,000","$3,333","$393,333",0.003
3218,Johnny Hekker,2012,P,LAR/STL,"$390,000","$3,333","$393,333",0.003
3219,Chris Polk,2012,RB,PHI,"$390,000","$3,333","$393,333",0.003
3220,Ron Leary,2012,G,DAL,"$390,000","$3,000","$393,000",0.003
3221,Leonard Johnson,2012,CB,TB,"$390,000","$2,500","$392,500",0.003
3222,Marcus Thigpen,2012,WR,MIA,"$390,000","$2,500","$392,500",0.003
3223,McLeod Bethel-Thompson,2012,QB,MIN,"$390,000","$2,500","$392,500",0.003
3224,Damon Harrison,2012,DT,NYJ,"$390,000","$2,333","$392,333",0.003
3225,Laron Byrd,2012,WR,ARI,"$390,000","$2,166","$392,166",0.003
3226,Trevor Robinson,2012,C,CIN,"$390,000","$2,000","$392,000",0.003
3227,Garrett Celek,2012,TE,SF,"$390,000","$2,000","$392,000",0.003
3228,Matt Conrath,2012,DT,LAR/STL,"$390,000","$2,000","$392,000",0.003
3229,Robert Golden,2012,FS,PIT,"$390,000","$1,667","$391,667",0.003
3230,Sean Richardson,2012,SS,GB,"$390,000","$1,667","$391,667",0.003
3231,Travaris Cadet,2012,RB,NO,"$390,000","$1,667","$391,667",0.003
3232,Drew Butler,2012,P,PIT,"$390,000","$1,666","$391,666",0.003
3233,Julian Stanford,2012,OLB,JAX,"$390,000","$1,666","$391,666",0.003
3234,Jonas Gray,2012,RB,MIA,"$390,000","$1,500","$391,500",0.003
3235,Aaron Brewer,2012,LS,DEN,"$390,000","$1,333","$391,333",0.003
3236,Deonte Thompson,2012,WR,BAL,"$390,000","$1,333","$391,333",0.003
3237,Rodney McLeod,2012,FS,LAR/STL,"$390,000","$1,333","$391,333",0.003
3238,Gerell Robinson,2012,WR,ARI,"$390,000","$1,166","$391,166",0.003
3239,Dezman Moses,2012,OLB,GB,"$390,000","$1,166","$391,166",0.003
3240,Mike Harris,2012,G,LAC/SD,"$390,000","$1,166","$391,166",0.003
3241,Tyrunn Walker,2012,DT,NO,"$390,000","$1,000","$391,000",0.003
3242,Don Barclay,2012,RT,GB,"$390,000",$833,"$390,833",0.003
3243,Josh Harris,2012,LS,ATL,"$390,000",$833,"$390,833",0.003
3244,Johnson Bademosi,2012,CB,CLE,"$390,000",$833,"$390,833",0.003
3245,Dominique Davis,2012,DE,ATL,"$390,000",$666,"$390,666",0.003
3246,Cole Beasley,2012,WR,DAL,"$390,000",$500,"$390,500",0.003
3247,Tashaun Gipson,2012,FS,CLE,"$390,000",$500,"$390,500",0.003
3248,Vontaze Burfict,2012,OLB,CIN,"$390,000",$333,"$390,333",0.003
3249,DaJohn Harris,2012,DT,TEN,"$390,000",$333,"$390,333",0.003
3250,Marquette King,2012,P,LV/OAK,"$390,000",$333,"$390,333",0.003
3251,Justin Anderson,2012,RT,IND,"$390,000",$0,"$390,000",0.003
3252,Robert Hughes,2012,RB,IND,"$390,000",$0,"$390,000",0.003
3253,Matt Overton,2012,LS,IND,"$390,000",$0,"$390,000",0.003
3254,Nathan Palmer,2012,WR,IND,"$390,000",$0,"$390,000",0.003
3255,Michael Wilhoite,2012,ILB,SF,"$390,000",$0,"$390,000",0.003
3256,A.Q. Shipley,2012,C,IND,"$390,000",$0,"$390,000",0.003
3257,Bradley Sowell,2012,LT,IND,"$390,000",$0,"$390,000",0.003
3258,Teddy Williams,2012,CB,IND,"$390,000",$0,"$390,000",0.003
3259,Chris Lewis-Harris,2012,CB,CIN,"$390,000",$0,"$390,000",0.003
3260,Konrad Reuland,2012,TE,NYJ,"$390,000",$0,"$390,000",0.003
3261,Zack Nash,2012,OLB,ARI,"$390,000",$0,"$390,000",0.003
3262,Matthew Masifilo,2012,G,TB,"$390,000",$0,"$390,000",0.003
3263,Chris Owusu,2012,WR,TB,"$390,000",$0,"$390,000",0.003
3264,Pat Devlin,2012,QB,MIA,"$390,000",$0,"$390,000",0.003
3265,Jonathan Freeny,2012,OLB,MIA,"$390,000",$0,"$390,000",0.003
3266,Jorvorskie Lane,2012,FB,MIA,"$390,000",$0,"$390,000",0.003
3267,Lance Dunbar,2012,RB,DAL,"$390,000",$0,"$390,000",0.003
3268,Orie Lemon,2012,ILB,DAL,"$390,000",$0,"$390,000",0.003
3269,Will Johnson,2012,FB,PIT,"$390,000",$0,"$390,000",0.003
3270,Jarrett Boykin,2012,WR,GB,"$390,000",$0,"$390,000",0.003
3271,Alameda Ta'amu,2012,DT,PIT,"$390,000",$0,"$390,000",0.003
3272,Cheta Ozougwu,2012,DE,CHI,"$390,000",$0,"$390,000",0.003
3273,Jeremy Ross,2012,WR,GB,"$390,000",$0,"$390,000",0.003
3274,Mike Brown,2012,WR,JAX,"$390,000",$0,"$390,000",0.003
3275,Johnathan Grimes,2012,RB,JAX,"$390,000",$0,"$390,000",0.003
3276,Jerome Long,2012,DE,JAX,"$390,000",$0,"$390,000",0.003
3277,Brandon Marshall,2012,ILB,JAX,"$390,000",$0,"$390,000",0.003
3278,Drew Nowak,2012,C,JAX,"$390,000",$0,"$390,000",0.003
3279,Saalim Hakim,2012,WR,NO,"$390,000",$0,"$390,000",0.003
3280,Bryce Harris,2012,RT,NO,"$390,000",$0,"$390,000",0.003
3281,Lawrence Wilson,2012,ILB,NO,"$390,000",$0,"$390,000",0.003
3282,Jermaine Kearse,2012,WR,SEA,"$390,000",$0,"$390,000",0.003
3283,Deshawn Shead,2012,FS,SEA,"$390,000",$0,"$390,000",0.003
3284,Jake Ingram,2012,DE,TEN,"$390,000",$0,"$390,000",0.003
3285,Collin Mooney,2012,FB,TEN,"$390,000",$0,"$390,000",0.003
3286,Michael Preston,2012,WR,TEN,"$390,000",$0,"$390,000",0.003
3287,Nate Chandler,2012,LT,CAR,"$390,000",$0,"$390,000",0.003
3288,Marcus Easley,2012,WR,BUF,"$390,000",$0,"$390,000",0.003
3289,Brandon Carswell,2012,WR,LV/OAK,"$390,000",$0,"$390,000",0.003
3290,Chris Hogan,2012,WR,BUF,"$390,000",$0,"$390,000",0.003
3291,Alex Parsons,2012,C,LV/OAK,"$390,000",$0,"$390,000",0.003
3292,Brandian Ross,2012,CB,LV/OAK,"$390,000",$0,"$390,000",0.003
3293,Jeremy Stewart,2012,RB,LV/OAK,"$390,000",$0,"$390,000",0.003
3294,Keith Williams,2012,G,BUF,"$390,000",$0,"$390,000",0.003
3295,Jeremy Beal,2012,DE,DEN,"$390,000",$0,"$390,000",0.003
3296,Sealver Siliga,2012,DT,DEN,"$390,000",$0,"$390,000",0.003
3297,Matt Asiata,2012,RB,MIN,"$390,000",$0,"$390,000",0.003
3298,Justin Tucker,2012,K,BAL,"$390,000",$0,"$390,000",0.003
3299,Ra'Shon Harris,2012,DT,HOU,"$390,000",$0,"$390,000",0.003
3300,Austin Davis,2012,QB,LAR/STL,"$390,000",$0,"$390,000",0.003
3301,Selvish Capers,2012,G,NYG,"$390,000",$0,"$390,000",0.003
3302,Terrence Frederick,2012,CB,NYG,"$390,000",$0,"$390,000",0.003
3303,Kevin Cone,2012,WR,ATL,"$390,000",$0,"$390,000",0.003
3304,Tank Carder,2012,ILB,CLE,"$390,000",$0,"$390,000",0.003
3305,Harland Gunn,2012,G,ATL,"$390,000",$0,"$390,000",0.003
3306,Patrick DiMarco,2012,FB,KC,"$390,000",$0,"$390,000",0.003
3307,Kai Forbath,2012,K,WAS,"$390,000",$0,"$390,000",0.003
3308,L.J. Fort,2012,ILB,CLE,"$390,000",$0,"$390,000",0.003
3309,Shaun Draughn,2012,RB,KC,"$390,000",$0,"$390,000",0.003
3310,Robert James,2012,OLB,ATL,"$390,000",$0,"$390,000",0.003
3311,Ishmaa'ily Kitchen,2012,DT,CLE,"$390,000",$0,"$390,000",0.003
3312,Junior Hemingway,2012,WR,KC,"$390,000",$0,"$390,000",0.003
3313,Aldrick Robinson,2012,WR,WAS,"$390,000",$0,"$390,000",0.003
3314,Doug Worthington,2012,DE,WAS,"$390,000",$0,"$390,000",0.003
3315,Craig Robertson,2012,ILB,CLE,"$390,000",$0,"$390,000",0.003
3316,Alex Tanney,2012,QB,KC,"$390,000",$0,"$390,000",0.003
3317,Christian Yount,2012,LS,CLE,"$390,000",$0,"$390,000",0.003
3318,Neiko Thorpe,2012,CB,KC,"$390,000",$0,"$390,000",0.003
3319,Stanley Havili,2012,FB,PHI,"$390,000",$0,"$390,000",0.003
3320,Ronald Johnson,2012,WR,PHI,"$390,000",$0,"$390,000",0.003
3321,Marvin McNutt,2012,WR,PHI,"$390,000",$0,"$390,000",0.003
3322,Dallas Reynolds,2012,G,PHI,"$390,000",$0,"$390,000",0.003
3323,Tony Jerod-Eddie,2012,DE,SF,"$389,997",$0,"$389,997",0.003
3324,Zackary Bowman,2012,CB,CHI,"$384,375",$0,"$384,375",0.003
3325,Alphonso Smith,2012,CB,DET,"$615,000",$0,"$384,375",0.003
3326,Jerrell Freeman,2012,ILB,IND,"$375,000","$6,666","$381,666",0.003
3327,Daniel Muir,2012,DT,NYJ,"$381,176",$0,"$381,176",0.003
3328,Reggie Wells,2012,G,LAC/SD,"$582,353",$0,"$381,176",0.003
3329,Clifton Geathers,2012,DE,PHI,"$381,176",$0,"$381,176",0.003
3330,Troy Nolan,2012,S,HOU,"$540,000",$0,"$371,250",0.003
3331,Darryl Blackstock,2012,LB,BAL,"$368,000",$0,"$368,000",0.003
3332,Tim Barnes,2012,C,LAR/STL,"$367,058",$0,"$367,058",0.003
3333,Andre Brown,2012,RB,NYG,"$355,588",$0,"$355,588",0.003
3334,Xavier Adibi,2012,LB,TEN,"$700,000",$0,"$350,000",0.003
3335,Mario Addison,2012,DE,WAS,"$465,000",$0,"$348,750",0.003
3336,Christian Thompson,2012,S,BAL,"$273,000","$75,146","$348,146",0.003
3337,Brandon McDonald,2012,CB,MIA,"$329,412",$0,"$329,411",0.003
3338,DeMarcus Love,2012,LT,MIN,"$288,000","$25,775","$328,619",0.003
3339,Zebrie Sanders,2012,RT,BUF,"$273,000","$49,625","$322,625",0.003
3340,Johnathan Grimes,2012,RB,NYJ,"$390,000",$0,"$321,176",0.003
3341,Andre Holmes,2012,WR,DAL,"$465,000",$0,"$319,688",0.003
3342,Shaun Prater,2012,CB,CIN,"$273,000","$46,250","$319,250",0.003
3343,Bradie Ewing,2012,FB,ATL,"$273,000","$46,048","$319,048",0.003
3344,Armon Binns,2012,WR,MIA,"$390,000",$0,"$316,875",0.003
3345,Jason Kelce,2012,C,PHI,"$288,000","$24,385","$312,385",0.003
3346,Philip Blake,2012,G,DEN,"$195,000","$113,400","$308,400",0.003
3347,Brian Robiskie,2012,WR,DET,"$307,500",$0,"$307,500",0.003
3348,Steve Vallos,2012,C,JAX,"$700,000",$0,"$306,250",0.003
3349,Antonio Allen,2012,CB,NYJ,"$303,794",$0,"$303,794",0.003
3350,Chilo Rachal,2012,G,CHI,"$368,000",$0,"$303,000",0.003
3351,Allen Reisner,2012,TE,MIN,"$300,882",$0,"$300,882",0.003
3352,Keenan Robinson,2012,OLB,WAS,"$195,000","$105,027","$300,027",0.003
3353,Will Hill,2012,SS,NYG,"$298,236",$0,"$298,236",0.003
3354,Nick Toon,2012,WR,NO,"$195,000","$101,903","$296,903",0.003
3355,Ron Parker,2012,FS,CAR,"$465,000",$0,"$290,625",0.002
3356,Bill Nagy,2012,G,DET,"$288,000",$0,"$288,000",0.002
3357,A.J. Edds,2012,OLB,IND,"$288,000",$0,"$288,000",0.002
3358,Matt Daniels,2012,FS,LAR/STL,"$273,000","$3,333","$276,333",0.002
3359,Anthony Levine,2012,ILB,BAL,"$273,000",$0,"$273,000",0.002
3360,Bobby Rainey,2012,RB,BAL,"$273,000",$0,"$273,000",0.002
3361,Matt Tennant,2012,G,PHI,"$540,000",$0,"$270,000",0.002
3362,Jarius Wynn,2012,OLB,TEN,"$615,000",$0,"$269,063",0.002
3363,Josh Kaddu,2012,OLB,MIA,"$268,125",$0,"$268,125",0.002
3364,Cody White,2012,C,HOU,"$268,125",$0,"$268,125",0.002
3365,Jeff Tarpinian,2012,OLB,NE,"$465,000",$0,"$261,563",0.002
3366,Da'Mon Cromartie-Smith,2012,CB,PIT,"$465,000",$0,"$261,563",0.002
3367,Chris Johnson,2012,CB,BAL,"$825,000",$0,"$257,813",0.002
3368,Reggie Wells,2012,G,GB,"$257,812",$0,"$257,812",0.002
3369,Thomas Welch,2012,RT,BUF,"$540,000",$0,"$254,118",0.002
3370,Lawrence Guy,2012,DE,IND,"$390,000",$0,"$252,352",0.002
3371,Kyle Miller,2012,TE,MIA,"$390,000",$0,"$243,750",0.002
3372,Duke Ihenacho,2012,SS,DEN,"$390,000",$0,"$243,750",0.002
3373,Josh Bynes,2012,OLB,BAL,"$243,750",$0,"$243,750",0.002
3374,Bryan McCann,2012,CB,MIA,"$540,000",$0,"$236,250",0.002
3375,Terrell McClain,2012,DE,HOU,"$465,000",$0,"$232,500",0.002
3376,Pat Lee,2012,CB,DET,"$615,000",$0,"$230,625",0.002
3377,Ronald Talley,2012,DE,ARI,"$465,000",$0,"$230,438",0.002
3378,Ricky Sapp,2012,OLB,NYJ,"$390,000",$0,"$229,129",0.002
3379,Jake Scott,2012,G,PHI,"$339,706",$0,"$222,353",0.002
3380,Malcolm Williams,2012,CB,NE,"$390,000",$0,"$219,375",0.002
3381,LeQuan Lewis,2012,CB,TB,"$390,000",$0,"$219,375",0.002
3382,Beau Bell,2012,LB,CLE,"$217,059",$0,"$217,058",0.002
3383,Darrin Walls,2012,CB,NYJ,"$390,000",$0,"$209,718",0.002
3384,D.J. Smith,2012,ILB,GB,"$174,375","$25,788","$200,163",0.002
3385,Emmanuel Lamur,2012,OLB,CIN,"$390,000",$0,"$195,000",0.002
3386,Johnathan Grimes,2012,RB,HOU,"$390,000",$0,"$195,000",0.002
3387,Graham Gano,2012,K,CAR,"$615,000",$0,"$192,188",0.002
3388,James Develin,2012,FB,NE,"$177,812",$0,"$177,811",0.002
3389,Jordan White,2012,WR,NYJ,"$390,000",$0,"$177,547",0.002
3390,John Beck,2012,QB,HOU,"$175,000",$0,"$175,000",0.002
3391,Ryan Durand,2012,G,MIA,"$465,000",$0,"$174,375",0.001
3392,Jordan Shipley,2012,WR,JAX,"$465,000",$0,"$174,375",0.001
3393,Quinton Pointer,2012,CB,LAR/STL,"$390,000",$0,"$170,625",0.001
3394,Jordan Todman,2012,RB,MIN,"$170,000",$0,"$170,000",0.001
3395,Cory Harkey,2012,FB,LAR/STL,"$160,588",$0,"$160,588",0.001
3396,Brady Poppinga,2012,LB,DAL,"$825,000",$0,"$154,688",0.001
